docname,topic,proportion
morrison_answers_tokenized.txt:6947,000,1.0
morrison_answers_tokenized.txt:6982,009,1.0
morrison_answers_tokenized.txt:7017,002,1.0
morrison_answers_tokenized.txt:7052,000,1.0
morrison_answers_tokenized.txt:7087,002,1.0
morrison_answers_tokenized.txt:7122,017,1.0
morrison_answers_tokenized.txt:7157,005,1.0
morrison_answers_tokenized.txt:7192,001,1.0
morrison_answers_tokenized.txt:7227,004,1.0
morrison_answers_tokenized.txt:7262,003,1.0
morrison_answers_tokenized.txt:7297,017,1.0
morrison_answers_tokenized.txt:7332,006,1.0
morrison_answers_tokenized.txt:7367,009,1.0
morrison_answers_tokenized.txt:7402,001,1.0
morrison_answers_tokenized.txt:7437,000,1.0
morrison_answers_tokenized.txt:7472,000,1.0
morrison_answers_tokenized.txt:7507,002,1.0
morrison_answers_tokenized.txt:7542,005,1.0
morrison_answers_tokenized.txt:7577,004,1.0
morrison_answers_tokenized.txt:7612,010,1.0
morrison_answers_tokenized.txt:7647,013,1.0
morrison_answers_tokenized.txt:7682,000,1.0
morrison_answers_tokenized.txt:7717,000,1.0
morrison_answers_tokenized.txt:7752,001,1.0
morrison_answers_tokenized.txt:7787,017,1.0
morrison_answers_tokenized.txt:7822,009,1.0
morrison_answers_tokenized.txt:7857,009,1.0
morrison_answers_tokenized.txt:7892,009,1.0
morrison_answers_tokenized.txt:7927,000,1.0
morrison_answers_tokenized.txt:7962,002,1.0
morrison_answers_tokenized.txt:7997,026,1.0
morrison_answers_tokenized.txt:8032,012,1.0
morrison_answers_tokenized.txt:8067,000,1.0
morrison_answers_tokenized.txt:8102,011,1.0
morrison_answers_tokenized.txt:8137,015,1.0
morrison_answers_tokenized.txt:8172,009,1.0
morrison_answers_tokenized.txt:8207,000,1.0
morrison_answers_tokenized.txt:8242,000,1.0
morrison_answers_tokenized.txt:8277,011,1.0
morrison_answers_tokenized.txt:8312,002,1.0
morrison_answers_tokenized.txt:8347,015,1.0
morrison_answers_tokenized.txt:8382,017,1.0
morrison_answers_tokenized.txt:8417,009,1.0
morrison_answers_tokenized.txt:8452,003,1.0
morrison_answers_tokenized.txt:8487,009,1.0
morrison_answers_tokenized.txt:8522,001,1.0
morrison_answers_tokenized.txt:8557,013,1.0
morrison_answers_tokenized.txt:8592,000,1.0
morrison_answers_tokenized.txt:8627,002,1.0
morrison_answers_tokenized.txt:8662,009,1.0
morrison_answers_tokenized.txt:8697,002,1.0
morrison_answers_tokenized.txt:8732,013,1.0
morrison_answers_tokenized.txt:8767,018,1.0
morrison_answers_tokenized.txt:8802,000,1.0
morrison_answers_tokenized.txt:8837,004,1.0
morrison_answers_tokenized.txt:8872,017,1.0
morrison_answers_tokenized.txt:8907,005,1.0
morrison_answers_tokenized.txt:8942,009,1.0
morrison_answers_tokenized.txt:8977,000,1.0
morrison_answers_tokenized.txt:9012,000,0.665613
morrison_answers_tokenized.txt:9012,001,0.334387
morrison_answers_tokenized.txt:9047,016,1.0
morrison_answers_tokenized.txt:9082,003,1.0
morrison_answers_tokenized.txt:9117,000,1.0
morrison_answers_tokenized.txt:9152,004,1.0
morrison_answers_tokenized.txt:9187,000,1.0
morrison_answers_tokenized.txt:9222,000,1.0
morrison_answers_tokenized.txt:9257,000,1.0
morrison_answers_tokenized.txt:9292,016,1.0
morrison_answers_tokenized.txt:9327,001,1.0
morrison_answers_tokenized.txt:9362,004,1.0
morrison_answers_tokenized.txt:9397,000,1.0
morrison_answers_tokenized.txt:22,009,1.0
morrison_answers_tokenized.txt:57,026,1.0
morrison_answers_tokenized.txt:92,002,1.0
morrison_answers_tokenized.txt:127,000,1.0
morrison_answers_tokenized.txt:162,007,1.0
morrison_answers_tokenized.txt:197,000,1.0
morrison_answers_tokenized.txt:232,012,1.0
morrison_answers_tokenized.txt:267,021,1.0
morrison_answers_tokenized.txt:302,015,1.0
morrison_answers_tokenized.txt:337,004,1.0
morrison_answers_tokenized.txt:372,003,1.0
morrison_answers_tokenized.txt:407,018,1.0
morrison_answers_tokenized.txt:442,000,1.0
morrison_answers_tokenized.txt:477,002,1.0
morrison_answers_tokenized.txt:512,021,1.0
morrison_answers_tokenized.txt:547,002,1.0
morrison_answers_tokenized.txt:582,018,1.0
morrison_answers_tokenized.txt:617,026,1.0
morrison_answers_tokenized.txt:652,026,1.0
morrison_answers_tokenized.txt:687,001,1.0
morrison_answers_tokenized.txt:722,020,1.0
morrison_answers_tokenized.txt:757,001,1.0
morrison_answers_tokenized.txt:792,003,1.0
morrison_answers_tokenized.txt:827,018,1.0
morrison_answers_tokenized.txt:862,000,0.665613
morrison_answers_tokenized.txt:862,001,0.334387
morrison_answers_tokenized.txt:897,005,1.0
morrison_answers_tokenized.txt:932,003,1.0
morrison_answers_tokenized.txt:967,000,1.0
morrison_answers_tokenized.txt:1002,013,1.0
morrison_answers_tokenized.txt:1037,011,1.0
morrison_answers_tokenized.txt:1072,001,1.0
morrison_answers_tokenized.txt:1107,026,1.0
morrison_answers_tokenized.txt:1142,004,1.0
morrison_answers_tokenized.txt:1177,003,1.0
morrison_answers_tokenized.txt:1212,004,1.0
morrison_answers_tokenized.txt:1247,020,1.0
morrison_answers_tokenized.txt:1282,000,1.0
morrison_answers_tokenized.txt:1317,020,1.0
morrison_answers_tokenized.txt:1352,006,1.0
morrison_answers_tokenized.txt:1387,009,1.0
morrison_answers_tokenized.txt:1422,005,1.0
morrison_answers_tokenized.txt:1457,003,1.0
morrison_answers_tokenized.txt:1492,000,1.0
morrison_answers_tokenized.txt:1527,005,1.0
morrison_answers_tokenized.txt:1562,000,1.0
morrison_answers_tokenized.txt:1597,000,1.0
morrison_answers_tokenized.txt:1632,011,1.0
morrison_answers_tokenized.txt:1667,000,1.0
morrison_answers_tokenized.txt:1702,001,1.0
morrison_answers_tokenized.txt:1737,016,1.0
morrison_answers_tokenized.txt:1772,026,1.0
morrison_answers_tokenized.txt:1807,000,1.0
morrison_answers_tokenized.txt:1842,011,1.0
morrison_answers_tokenized.txt:1877,000,1.0
morrison_answers_tokenized.txt:1912,023,1.0
morrison_answers_tokenized.txt:1947,003,1.0
morrison_answers_tokenized.txt:1982,000,1.0
morrison_answers_tokenized.txt:2017,000,1.0
morrison_answers_tokenized.txt:2052,000,1.0
morrison_answers_tokenized.txt:2087,002,1.0
morrison_answers_tokenized.txt:2122,013,1.0
morrison_answers_tokenized.txt:2157,004,1.0
morrison_answers_tokenized.txt:2192,001,1.0
morrison_answers_tokenized.txt:2227,015,1.0
morrison_answers_tokenized.txt:2262,000,1.0
morrison_answers_tokenized.txt:2297,001,1.0
morrison_answers_tokenized.txt:2332,001,1.0
morrison_answers_tokenized.txt:2367,002,1.0
morrison_answers_tokenized.txt:2402,000,1.0
morrison_answers_tokenized.txt:2437,000,1.0
morrison_answers_tokenized.txt:2472,002,1.0
morrison_answers_tokenized.txt:2507,000,1.0
morrison_answers_tokenized.txt:2542,009,1.0
morrison_answers_tokenized.txt:2577,002,1.0
morrison_answers_tokenized.txt:2612,007,1.0
morrison_answers_tokenized.txt:2647,001,1.0
morrison_answers_tokenized.txt:2682,002,1.0
morrison_answers_tokenized.txt:2717,013,1.0
morrison_answers_tokenized.txt:2752,018,1.0
morrison_answers_tokenized.txt:2787,004,1.0
morrison_answers_tokenized.txt:2822,000,1.0
morrison_answers_tokenized.txt:2857,000,1.0
morrison_answers_tokenized.txt:2892,001,1.0
morrison_answers_tokenized.txt:2927,009,1.0
morrison_answers_tokenized.txt:2962,001,1.0
morrison_answers_tokenized.txt:2997,008,1.0
morrison_answers_tokenized.txt:3032,006,1.0
morrison_answers_tokenized.txt:3067,007,1.0
morrison_answers_tokenized.txt:3102,006,1.0
morrison_answers_tokenized.txt:3137,001,1.0
morrison_answers_tokenized.txt:3172,009,1.0
morrison_answers_tokenized.txt:3207,007,1.0
morrison_answers_tokenized.txt:3242,001,1.0
morrison_answers_tokenized.txt:3277,000,1.0
morrison_answers_tokenized.txt:3312,000,1.0
morrison_answers_tokenized.txt:3347,004,1.0
morrison_answers_tokenized.txt:3382,000,1.0
morrison_answers_tokenized.txt:3417,011,1.0
morrison_answers_tokenized.txt:3452,005,1.0
morrison_answers_tokenized.txt:3487,001,1.0
morrison_answers_tokenized.txt:3522,004,1.0
morrison_answers_tokenized.txt:3557,009,1.0
morrison_answers_tokenized.txt:3592,000,0.665613
morrison_answers_tokenized.txt:3592,001,0.334387
morrison_answers_tokenized.txt:3627,008,1.0
morrison_answers_tokenized.txt:3662,017,1.0
morrison_answers_tokenized.txt:3697,008,1.0
morrison_answers_tokenized.txt:3732,000,1.0
morrison_answers_tokenized.txt:3767,008,1.0
morrison_answers_tokenized.txt:3802,009,1.0
morrison_answers_tokenized.txt:3837,001,1.0
morrison_answers_tokenized.txt:3872,006,1.0
morrison_answers_tokenized.txt:3907,018,1.0
morrison_answers_tokenized.txt:3942,023,1.0
morrison_answers_tokenized.txt:3977,003,1.0
morrison_answers_tokenized.txt:4012,005,1.0
morrison_answers_tokenized.txt:4047,004,1.0
morrison_answers_tokenized.txt:4082,000,1.0
morrison_answers_tokenized.txt:4117,000,1.0
morrison_answers_tokenized.txt:4152,009,1.0
morrison_answers_tokenized.txt:4187,013,1.0
morrison_answers_tokenized.txt:4222,014,1.0
morrison_answers_tokenized.txt:4257,013,1.0
morrison_answers_tokenized.txt:4292,003,1.0
morrison_answers_tokenized.txt:4327,023,1.0
morrison_answers_tokenized.txt:4362,011,1.0
morrison_answers_tokenized.txt:4397,000,1.0
morrison_answers_tokenized.txt:4432,003,1.0
morrison_answers_tokenized.txt:4467,012,1.0
morrison_answers_tokenized.txt:4502,000,1.0
morrison_answers_tokenized.txt:4537,000,1.0
morrison_answers_tokenized.txt:4572,003,1.0
morrison_answers_tokenized.txt:4607,001,1.0
morrison_answers_tokenized.txt:4626,002,1.0
morrison_answers_tokenized.txt:4661,003,1.0
morrison_answers_tokenized.txt:4696,000,1.0
morrison_answers_tokenized.txt:4731,003,1.0
morrison_answers_tokenized.txt:4766,001,1.0
morrison_answers_tokenized.txt:4801,026,1.0
morrison_answers_tokenized.txt:4836,000,1.0
morrison_answers_tokenized.txt:4871,000,1.0
morrison_answers_tokenized.txt:4906,009,1.0
morrison_answers_tokenized.txt:4941,000,1.0
morrison_answers_tokenized.txt:4976,000,1.0
morrison_answers_tokenized.txt:5011,000,1.0
morrison_answers_tokenized.txt:5046,011,1.0
morrison_answers_tokenized.txt:5081,017,1.0
morrison_answers_tokenized.txt:5116,002,1.0
morrison_answers_tokenized.txt:5151,017,1.0
morrison_answers_tokenized.txt:5186,003,1.0
morrison_answers_tokenized.txt:5221,009,1.0
morrison_answers_tokenized.txt:5256,003,1.0
morrison_answers_tokenized.txt:5291,009,1.0
morrison_answers_tokenized.txt:5326,000,1.0
morrison_answers_tokenized.txt:5361,000,1.0
morrison_answers_tokenized.txt:5396,000,1.0
morrison_answers_tokenized.txt:5431,000,1.0
morrison_answers_tokenized.txt:5466,011,1.0
morrison_answers_tokenized.txt:5501,011,1.0
morrison_answers_tokenized.txt:5536,000,1.0
morrison_answers_tokenized.txt:5571,009,1.0
morrison_answers_tokenized.txt:5606,007,1.0
morrison_answers_tokenized.txt:5641,002,1.0
morrison_answers_tokenized.txt:5676,009,1.0
morrison_answers_tokenized.txt:5711,000,1.0
morrison_answers_tokenized.txt:5746,001,1.0
morrison_answers_tokenized.txt:5781,001,1.0
morrison_answers_tokenized.txt:5816,007,1.0
morrison_answers_tokenized.txt:5851,009,1.0
morrison_answers_tokenized.txt:5886,005,1.0
morrison_answers_tokenized.txt:5921,040,1.0
morrison_answers_tokenized.txt:5956,007,1.0
morrison_answers_tokenized.txt:5991,006,1.0
morrison_answers_tokenized.txt:6026,003,1.0
morrison_answers_tokenized.txt:6061,009,1.0
morrison_answers_tokenized.txt:6096,026,1.0
morrison_answers_tokenized.txt:6131,037,1.0
morrison_answers_tokenized.txt:6166,007,1.0
morrison_answers_tokenized.txt:6201,002,1.0
morrison_answers_tokenized.txt:6236,000,1.0
morrison_answers_tokenized.txt:6271,001,1.0
morrison_answers_tokenized.txt:6306,005,1.0
morrison_answers_tokenized.txt:6341,008,1.0
morrison_answers_tokenized.txt:6376,000,1.0
morrison_answers_tokenized.txt:6411,000,0.665613
morrison_answers_tokenized.txt:6411,001,0.334387
morrison_answers_tokenized.txt:6446,002,1.0
morrison_answers_tokenized.txt:6481,000,1.0
morrison_answers_tokenized.txt:6516,009,1.0
morrison_answers_tokenized.txt:6551,000,1.0
morrison_answers_tokenized.txt:6586,000,1.0
morrison_answers_tokenized.txt:6621,009,1.0
morrison_answers_tokenized.txt:6656,019,1.0
morrison_answers_tokenized.txt:6691,011,1.0
morrison_answers_tokenized.txt:6726,003,1.0
morrison_answers_tokenized.txt:6761,000,1.0
morrison_answers_tokenized.txt:6796,004,1.0
morrison_answers_tokenized.txt:6831,006,1.0
morrison_answers_tokenized.txt:6866,007,1.0
morrison_answers_tokenized.txt:6901,024,1.0
morrison_answers_tokenized.txt:6936,000,1.0
morrison_answers_tokenized.txt:6971,001,1.0
morrison_answers_tokenized.txt:7006,000,0.665613
morrison_answers_tokenized.txt:7006,001,0.334387
morrison_answers_tokenized.txt:7041,004,1.0
morrison_answers_tokenized.txt:7076,000,0.665613
morrison_answers_tokenized.txt:7076,001,0.334387
morrison_answers_tokenized.txt:7111,003,1.0
morrison_answers_tokenized.txt:7146,000,1.0
morrison_answers_tokenized.txt:7181,000,1.0
morrison_answers_tokenized.txt:7216,001,1.0
morrison_answers_tokenized.txt:7251,000,1.0
morrison_answers_tokenized.txt:7286,003,1.0
morrison_answers_tokenized.txt:7321,001,1.0
morrison_answers_tokenized.txt:7356,009,1.0
morrison_answers_tokenized.txt:7391,009,1.0
morrison_answers_tokenized.txt:7426,000,1.0
morrison_answers_tokenized.txt:7461,009,1.0
morrison_answers_tokenized.txt:7496,006,1.0
morrison_answers_tokenized.txt:7531,003,1.0
morrison_answers_tokenized.txt:7566,016,1.0
morrison_answers_tokenized.txt:7601,009,1.0
morrison_answers_tokenized.txt:7636,011,1.0
morrison_answers_tokenized.txt:7671,013,1.0
morrison_answers_tokenized.txt:7706,002,1.0
morrison_answers_tokenized.txt:7741,004,1.0
morrison_answers_tokenized.txt:7776,000,0.665613
morrison_answers_tokenized.txt:7776,001,0.334387
morrison_answers_tokenized.txt:7811,002,1.0
morrison_answers_tokenized.txt:7846,009,1.0
morrison_answers_tokenized.txt:7881,010,1.0
morrison_answers_tokenized.txt:7916,000,1.0
morrison_answers_tokenized.txt:7951,009,1.0
morrison_answers_tokenized.txt:7986,000,1.0
morrison_answers_tokenized.txt:8021,006,1.0
morrison_answers_tokenized.txt:8056,000,1.0
morrison_answers_tokenized.txt:8091,000,1.0
morrison_answers_tokenized.txt:8126,009,1.0
morrison_answers_tokenized.txt:8161,011,1.0
morrison_answers_tokenized.txt:8196,007,1.0
morrison_answers_tokenized.txt:8231,004,1.0
morrison_answers_tokenized.txt:8266,001,1.0
morrison_answers_tokenized.txt:8301,011,1.0
morrison_answers_tokenized.txt:8336,000,1.0
morrison_answers_tokenized.txt:8371,000,0.665613
morrison_answers_tokenized.txt:8371,001,0.334387
morrison_answers_tokenized.txt:8406,011,1.0
morrison_answers_tokenized.txt:8441,027,1.0
morrison_answers_tokenized.txt:8476,000,1.0
morrison_answers_tokenized.txt:8511,011,1.0
morrison_answers_tokenized.txt:8546,005,1.0
morrison_answers_tokenized.txt:8581,000,1.0
morrison_answers_tokenized.txt:8616,018,1.0
morrison_answers_tokenized.txt:8651,009,1.0
morrison_answers_tokenized.txt:8686,000,0.665613
morrison_answers_tokenized.txt:8686,001,0.334387
morrison_answers_tokenized.txt:8721,026,1.0
morrison_answers_tokenized.txt:8756,000,1.0
morrison_answers_tokenized.txt:8791,000,1.0
morrison_answers_tokenized.txt:8826,009,1.0
morrison_answers_tokenized.txt:8861,001,1.0
morrison_answers_tokenized.txt:8896,002,1.0
morrison_answers_tokenized.txt:8931,006,1.0
morrison_answers_tokenized.txt:8966,008,1.0
morrison_answers_tokenized.txt:9001,008,1.0
morrison_answers_tokenized.txt:9036,007,1.0
morrison_answers_tokenized.txt:9071,000,0.665613
morrison_answers_tokenized.txt:9071,001,0.334387
morrison_answers_tokenized.txt:9106,007,1.0
morrison_answers_tokenized.txt:9141,000,1.0
morrison_answers_tokenized.txt:9176,003,1.0
morrison_answers_tokenized.txt:9211,000,1.0
morrison_answers_tokenized.txt:9246,005,1.0
morrison_answers_tokenized.txt:9281,017,1.0
morrison_answers_tokenized.txt:9316,004,1.0
morrison_answers_tokenized.txt:9351,000,1.0
morrison_answers_tokenized.txt:9386,000,0.665613
morrison_answers_tokenized.txt:9386,001,0.334387
morrison_answers_tokenized.txt:8,009,1.0
morrison_answers_tokenized.txt:43,001,1.0
morrison_answers_tokenized.txt:78,006,1.0
morrison_answers_tokenized.txt:113,003,1.0
morrison_answers_tokenized.txt:148,008,1.0
morrison_answers_tokenized.txt:183,000,1.0
morrison_answers_tokenized.txt:218,005,1.0
morrison_answers_tokenized.txt:253,000,0.665613
morrison_answers_tokenized.txt:253,001,0.334387
morrison_answers_tokenized.txt:288,007,1.0
morrison_answers_tokenized.txt:323,000,1.0
morrison_answers_tokenized.txt:358,000,1.0
morrison_answers_tokenized.txt:393,009,1.0
morrison_answers_tokenized.txt:428,000,1.0
morrison_answers_tokenized.txt:463,020,1.0
morrison_answers_tokenized.txt:498,000,1.0
morrison_answers_tokenized.txt:533,000,1.0
morrison_answers_tokenized.txt:568,008,1.0
morrison_answers_tokenized.txt:603,001,1.0
morrison_answers_tokenized.txt:638,026,1.0
morrison_answers_tokenized.txt:673,011,1.0
morrison_answers_tokenized.txt:708,005,1.0
morrison_answers_tokenized.txt:743,009,1.0
morrison_answers_tokenized.txt:778,003,1.0
morrison_answers_tokenized.txt:813,000,1.0
