docname,topic,proportion
shorten_answers_tokenized.txt:10626,006,1.0
shorten_answers_tokenized.txt:10661,009,1.0
shorten_answers_tokenized.txt:10696,005,1.0
shorten_answers_tokenized.txt:10731,000,0.465504
shorten_answers_tokenized.txt:10731,001,0.382341
shorten_answers_tokenized.txt:10731,002,0.152154
shorten_answers_tokenized.txt:10766,007,1.0
shorten_answers_tokenized.txt:10801,005,1.0
shorten_answers_tokenized.txt:10836,000,0.465504
shorten_answers_tokenized.txt:10836,001,0.382341
shorten_answers_tokenized.txt:10836,002,0.152154
shorten_answers_tokenized.txt:10871,000,1.0
shorten_answers_tokenized.txt:10906,017,1.0
shorten_answers_tokenized.txt:10941,000,1.0
shorten_answers_tokenized.txt:10976,000,1.0
shorten_answers_tokenized.txt:11011,006,1.0
shorten_answers_tokenized.txt:11046,000,1.0
shorten_answers_tokenized.txt:11081,000,1.0
shorten_answers_tokenized.txt:11116,006,1.0
shorten_answers_tokenized.txt:11151,006,1.0
shorten_answers_tokenized.txt:11186,017,1.0
shorten_answers_tokenized.txt:11221,004,1.0
shorten_answers_tokenized.txt:11256,002,1.0
shorten_answers_tokenized.txt:11291,002,1.0
shorten_answers_tokenized.txt:11326,003,1.0
shorten_answers_tokenized.txt:11361,000,1.0
shorten_answers_tokenized.txt:11396,001,1.0
shorten_answers_tokenized.txt:11431,000,1.0
shorten_answers_tokenized.txt:11466,008,1.0
shorten_answers_tokenized.txt:11501,000,1.0
shorten_answers_tokenized.txt:11536,017,1.0
shorten_answers_tokenized.txt:11571,005,1.0
shorten_answers_tokenized.txt:11606,001,1.0
shorten_answers_tokenized.txt:11641,028,1.0
shorten_answers_tokenized.txt:11676,010,1.0
shorten_answers_tokenized.txt:11711,007,1.0
shorten_answers_tokenized.txt:11746,001,1.0
shorten_answers_tokenized.txt:11781,006,1.0
shorten_answers_tokenized.txt:11816,004,1.0
shorten_answers_tokenized.txt:11851,006,1.0
shorten_answers_tokenized.txt:11886,001,1.0
shorten_answers_tokenized.txt:11921,000,0.465504
shorten_answers_tokenized.txt:11921,001,0.382341
shorten_answers_tokenized.txt:11921,002,0.152154
shorten_answers_tokenized.txt:11956,010,1.0
shorten_answers_tokenized.txt:11991,000,1.0
shorten_answers_tokenized.txt:12026,003,1.0
shorten_answers_tokenized.txt:12061,000,1.0
shorten_answers_tokenized.txt:12096,008,1.0
shorten_answers_tokenized.txt:12131,003,1.0
shorten_answers_tokenized.txt:12166,003,1.0
shorten_answers_tokenized.txt:12201,015,1.0
shorten_answers_tokenized.txt:12236,002,1.0
shorten_answers_tokenized.txt:12271,003,1.0
shorten_answers_tokenized.txt:12306,017,1.0
shorten_answers_tokenized.txt:12341,006,1.0
shorten_answers_tokenized.txt:12376,000,0.465504
shorten_answers_tokenized.txt:12376,001,0.382341
shorten_answers_tokenized.txt:12376,002,0.152154
shorten_answers_tokenized.txt:12411,002,1.0
shorten_answers_tokenized.txt:12446,001,1.0
shorten_answers_tokenized.txt:12481,018,1.0
shorten_answers_tokenized.txt:12516,024,1.0
shorten_answers_tokenized.txt:12551,000,1.0
shorten_answers_tokenized.txt:12586,003,1.0
shorten_answers_tokenized.txt:12621,019,1.0
shorten_answers_tokenized.txt:12656,004,1.0
shorten_answers_tokenized.txt:12691,024,1.0
shorten_answers_tokenized.txt:28,015,1.0
shorten_answers_tokenized.txt:63,003,1.0
shorten_answers_tokenized.txt:98,004,1.0
shorten_answers_tokenized.txt:133,005,1.0
shorten_answers_tokenized.txt:168,002,1.0
shorten_answers_tokenized.txt:203,002,1.0
shorten_answers_tokenized.txt:238,004,1.0
shorten_answers_tokenized.txt:273,001,1.0
shorten_answers_tokenized.txt:308,000,1.0
shorten_answers_tokenized.txt:343,000,1.0
shorten_answers_tokenized.txt:378,001,1.0
shorten_answers_tokenized.txt:413,017,1.0
shorten_answers_tokenized.txt:448,001,1.0
shorten_answers_tokenized.txt:483,001,1.0
shorten_answers_tokenized.txt:518,043,1.0
shorten_answers_tokenized.txt:553,015,1.0
shorten_answers_tokenized.txt:588,000,1.0
shorten_answers_tokenized.txt:623,003,1.0
shorten_answers_tokenized.txt:658,007,1.0
shorten_answers_tokenized.txt:693,012,1.0
shorten_answers_tokenized.txt:728,004,1.0
shorten_answers_tokenized.txt:763,000,1.0
shorten_answers_tokenized.txt:798,028,1.0
shorten_answers_tokenized.txt:833,003,1.0
shorten_answers_tokenized.txt:868,000,1.0
shorten_answers_tokenized.txt:903,000,1.0
shorten_answers_tokenized.txt:938,017,1.0
shorten_answers_tokenized.txt:973,000,0.465504
shorten_answers_tokenized.txt:973,001,0.382341
shorten_answers_tokenized.txt:973,002,0.152154
shorten_answers_tokenized.txt:1008,022,1.0
shorten_answers_tokenized.txt:1043,017,1.0
shorten_answers_tokenized.txt:1078,005,1.0
shorten_answers_tokenized.txt:1113,017,1.0
shorten_answers_tokenized.txt:1148,010,1.0
shorten_answers_tokenized.txt:1183,000,1.0
shorten_answers_tokenized.txt:1218,000,0.465504
shorten_answers_tokenized.txt:1218,001,0.382341
shorten_answers_tokenized.txt:1218,002,0.152154
shorten_answers_tokenized.txt:1253,000,1.0
shorten_answers_tokenized.txt:1288,029,1.0
shorten_answers_tokenized.txt:1323,001,1.0
shorten_answers_tokenized.txt:1358,001,1.0
shorten_answers_tokenized.txt:1393,017,1.0
shorten_answers_tokenized.txt:1428,017,1.0
shorten_answers_tokenized.txt:1463,000,0.465504
shorten_answers_tokenized.txt:1463,001,0.382341
shorten_answers_tokenized.txt:1463,002,0.152154
shorten_answers_tokenized.txt:1498,001,1.0
shorten_answers_tokenized.txt:1533,001,1.0
shorten_answers_tokenized.txt:1568,000,1.0
shorten_answers_tokenized.txt:1603,000,0.465504
shorten_answers_tokenized.txt:1603,001,0.382341
shorten_answers_tokenized.txt:1603,002,0.152154
shorten_answers_tokenized.txt:1638,017,1.0
shorten_answers_tokenized.txt:1673,000,1.0
shorten_answers_tokenized.txt:1708,025,1.0
shorten_answers_tokenized.txt:1743,000,1.0
shorten_answers_tokenized.txt:1778,007,1.0
shorten_answers_tokenized.txt:1813,004,1.0
shorten_answers_tokenized.txt:1848,000,1.0
shorten_answers_tokenized.txt:1883,000,1.0
shorten_answers_tokenized.txt:1918,022,1.0
shorten_answers_tokenized.txt:1953,015,1.0
shorten_answers_tokenized.txt:1988,014,1.0
shorten_answers_tokenized.txt:2023,000,1.0
shorten_answers_tokenized.txt:2058,000,0.465504
shorten_answers_tokenized.txt:2058,001,0.382341
shorten_answers_tokenized.txt:2058,002,0.152154
shorten_answers_tokenized.txt:2093,015,1.0
shorten_answers_tokenized.txt:2128,000,1.0
shorten_answers_tokenized.txt:2163,005,1.0
shorten_answers_tokenized.txt:2198,007,1.0
shorten_answers_tokenized.txt:2233,002,1.0
shorten_answers_tokenized.txt:2268,013,1.0
shorten_answers_tokenized.txt:2303,000,1.0
shorten_answers_tokenized.txt:2338,003,1.0
shorten_answers_tokenized.txt:2373,000,1.0
shorten_answers_tokenized.txt:2408,000,0.465504
shorten_answers_tokenized.txt:2408,001,0.382341
shorten_answers_tokenized.txt:2408,002,0.152154
shorten_answers_tokenized.txt:2443,000,1.0
shorten_answers_tokenized.txt:2478,022,1.0
shorten_answers_tokenized.txt:2513,005,1.0
shorten_answers_tokenized.txt:2548,001,1.0
shorten_answers_tokenized.txt:2583,002,1.0
shorten_answers_tokenized.txt:2618,004,1.0
shorten_answers_tokenized.txt:2653,009,1.0
shorten_answers_tokenized.txt:2688,002,1.0
shorten_answers_tokenized.txt:2723,008,1.0
shorten_answers_tokenized.txt:2758,003,1.0
shorten_answers_tokenized.txt:2793,000,0.465504
shorten_answers_tokenized.txt:2793,001,0.382341
shorten_answers_tokenized.txt:2793,002,0.152154
shorten_answers_tokenized.txt:2828,000,0.465504
shorten_answers_tokenized.txt:2828,001,0.382341
shorten_answers_tokenized.txt:2828,002,0.152154
shorten_answers_tokenized.txt:2863,009,1.0
shorten_answers_tokenized.txt:2898,009,1.0
shorten_answers_tokenized.txt:2933,001,1.0
shorten_answers_tokenized.txt:2968,013,1.0
