docname,topic,proportion
pm_highTemp.txt:2138,003,1.0
pm_highTemp.txt:2173,000,1.0
pm_highTemp.txt:2208,001,1.0
pm_highTemp.txt:2243,006,1.0
pm_highTemp.txt:2278,002,1.0
pm_highTemp.txt:2313,000,1.0
pm_highTemp.txt:2348,012,1.0
pm_highTemp.txt:2383,000,1.0
pm_highTemp.txt:2418,002,1.0
pm_highTemp.txt:2453,001,1.0
pm_highTemp.txt:2488,000,1.0
pm_highTemp.txt:2523,005,1.0
pm_highTemp.txt:2558,005,1.0
pm_highTemp.txt:2588,005,1.0
pm_highTemp.txt:2623,002,1.0
pm_highTemp.txt:2658,000,1.0
pm_highTemp.txt:2693,000,1.0
pm_highTemp.txt:2728,002,1.0
pm_highTemp.txt:2763,005,1.0
pm_highTemp.txt:2798,000,1.0
pm_highTemp.txt:2833,000,1.0
pm_highTemp.txt:2868,005,1.0
pm_highTemp.txt:2903,010,1.0
pm_highTemp.txt:2938,002,1.0
pm_highTemp.txt:2973,003,1.0
pm_highTemp.txt:3008,000,0.513105
pm_highTemp.txt:3008,001,0.486895
pm_highTemp.txt:3043,001,1.0
pm_highTemp.txt:3078,003,1.0
pm_highTemp.txt:3113,005,1.0
pm_highTemp.txt:3148,007,1.0
pm_highTemp.txt:3183,006,1.0
pm_highTemp.txt:3218,001,1.0
pm_highTemp.txt:3253,001,1.0
pm_highTemp.txt:3288,001,1.0
pm_highTemp.txt:3323,002,1.0
pm_highTemp.txt:3358,004,1.0
pm_highTemp.txt:3393,000,1.0
pm_highTemp.txt:3428,001,1.0
pm_highTemp.txt:3463,004,1.0
pm_highTemp.txt:3498,013,1.0
pm_highTemp.txt:3533,001,1.0
pm_highTemp.txt:3568,000,1.0
pm_highTemp.txt:3603,000,1.0
pm_highTemp.txt:3638,016,1.0
pm_highTemp.txt:3673,003,1.0
pm_highTemp.txt:3708,008,1.0
pm_highTemp.txt:3743,001,1.0
pm_highTemp.txt:3778,001,1.0
pm_highTemp.txt:3813,000,0.513105
pm_highTemp.txt:3813,001,0.486895
pm_highTemp.txt:3848,000,0.513105
pm_highTemp.txt:3848,001,0.486895
pm_highTemp.txt:3883,000,1.0
pm_highTemp.txt:3918,006,1.0
pm_highTemp.txt:3953,001,1.0
pm_highTemp.txt:3988,000,0.513105
pm_highTemp.txt:3988,001,0.486895
pm_highTemp.txt:4023,002,1.0
pm_highTemp.txt:4058,001,1.0
pm_highTemp.txt:4093,005,1.0
pm_highTemp.txt:4128,011,1.0
pm_highTemp.txt:4163,010,1.0
pm_highTemp.txt:4198,018,1.0
pm_highTemp.txt:4233,013,1.0
pm_highTemp.txt:4268,000,1.0
pm_highTemp.txt:4303,000,1.0
pm_highTemp.txt:4338,003,1.0
pm_highTemp.txt:4373,000,1.0
pm_highTemp.txt:4408,007,1.0
pm_highTemp.txt:4443,002,1.0
pm_highTemp.txt:4478,005,1.0
pm_highTemp.txt:4513,002,1.0
pm_highTemp.txt:4548,000,1.0
pm_highTemp.txt:4583,006,1.0
pm_highTemp.txt:4618,006,1.0
pm_highTemp.txt:4653,000,1.0
pm_highTemp.txt:4688,000,1.0
pm_highTemp.txt:4723,003,1.0
pm_highTemp.txt:4758,012,1.0
pm_highTemp.txt:4793,000,1.0
pm_highTemp.txt:4828,002,1.0
pm_highTemp.txt:4863,001,1.0
